date,week_num,tv_spend,digital_spend,social_media_spend,search_spend,print_spend,radio_spend,organic_traffic,word_of_mouth,email_list_size,consumer_confidence,competitor_spend,is_holiday,revenue
2022-01-03,0,0.0,26102.89,13051.44,17401.92,8700.96,6960.77,5289.8165866067875,1053.43,10104.0,94.88,100000.0,1,614445.96
2022-01-10,1,45449.66,24238.22,14619.2,17283.01,8049.68,6239.8,5303.434838546405,1101.75,10179.0,99.92,94563.77,0,627403.29
2022-01-17,2,44324.84,24401.42,13616.28,0.0,10243.53,8145.45,5376.507815076226,683.76,10211.0,105.43,89134.64,0,581131.7
2022-01-24,3,46614.81,26447.54,10786.78,18335.64,9581.67,7315.72,5238.021740637191,1179.01,10168.0,102.47,92531.51,0,622561.95
2022-01-31,4,51645.13,27077.61,10150.48,17952.23,9544.48,7790.36,5713.965093774614,903.39,10161.0,101.16,86787.54,0,619716.16
2022-02-07,5,51333.13,26747.37,9120.47,20407.62,10843.5,8266.52,5520.364041661641,1029.36,10220.0,100.96,90119.1,0,632548.31
2022-02-14,6,48833.59,26470.62,10059.1,17342.89,10915.65,9090.26,5867.353146375603,1322.44,10261.0,101.82,92432.06,0,623680.12
2022-02-21,7,54631.99,25486.36,11229.43,18538.98,10582.92,9883.14,6547.309515975081,1179.37,10577.0,103.15,83803.03,0,634468.87
2022-02-28,8,55311.84,24529.96,14349.15,18896.81,10588.15,9164.84,5479.712583253835,946.29,10519.0,99.96,80415.2,0,648416.52
2022-03-07,9,54744.97,30112.02,15849.21,21482.17,13896.75,8657.48,6635.3953062177325,821.76,9862.0,104.82,86385.75,0,630837.45
2022-03-14,10,55763.0,31149.46,0.0,21731.52,12658.59,8874.21,6793.573776355348,569.64,10631.0,104.27,81479.92,0,594103.32
2022-03-21,11,51948.72,28725.89,16430.17,27104.79,12102.33,8002.0,6131.907553930512,856.17,10589.0,104.52,79157.9,0,684788.55
2022-03-28,12,49268.32,31806.93,12684.41,23442.77,12732.42,9813.45,5171.781424593757,957.77,10596.0,104.19,81468.21,0,671154.27
2022-04-04,13,54369.9,34600.75,14762.45,22720.72,14232.27,10096.72,5956.089006452784,802.56,10572.0,103.57,85385.16,0,607656.06
2022-04-11,14,44928.44,36517.01,16414.23,0.0,14718.86,9294.26,6921.206147378609,973.75,10925.0,105.09,84127.46,0,651849.5
2022-04-18,15,39230.62,37267.46,13943.24,19539.63,14352.16,9264.66,6259.507786276611,1015.37,10940.0,105.12,81139.91,0,629528.51
2022-04-25,16,40866.37,33088.71,16442.07,18483.28,11797.04,7761.92,5755.365126537959,955.03,10645.0,103.41,88251.76,0,643267.46
2022-05-02,17,41866.23,32615.35,17755.55,23602.86,14284.14,7434.56,5973.068565039101,870.0,10931.0,103.13,96946.26,0,646842.96
2022-05-09,18,47852.73,35532.99,16809.6,27153.5,11834.3,9136.68,6603.293879145934,1033.73,10706.0,104.63,101840.55,0,643355.93
2022-05-16,19,45828.56,0.0,0.0,24239.14,12084.06,8439.44,6401.877532271791,1088.39,10674.0,107.66,102267.14,0,614712.22
2022-05-23,20,41847.6,36076.13,21479.7,21489.67,10825.84,7554.76,5943.656608655948,781.92,10875.0,102.2,98225.81,0,616694.57
2022-05-30,21,53694.06,35820.13,20428.59,23100.56,10880.84,8545.83,5804.652540823812,1282.19,11222.0,101.84,94073.59,0,620233.78
2022-06-06,22,54335.94,40278.0,20157.53,21833.86,11655.74,10075.68,5708.844097521858,980.28,11291.0,105.18,96686.16,0,623769.69
2022-06-13,23,55634.62,36503.68,18492.87,23930.59,12052.49,10557.09,5353.399794793284,1003.77,11253.0,105.02,98778.15,0,642251.16
2022-06-20,24,48821.16,37790.06,16654.03,24211.48,0.0,11180.87,6527.003509022278,1141.64,11345.0,105.31,105786.15,0,631713.24
2022-06-27,25,48607.63,36105.48,18265.15,19664.58,14405.22,9803.33,5459.376445649654,1046.64,11353.0,105.48,109038.4,0,659421.11
2022-07-04,26,50943.3,34263.43,16195.81,24500.56,13912.09,8008.32,6128.579260412748,1190.63,11172.0,104.55,101522.99,1,715290.34
2022-07-11,27,46756.56,37878.07,16542.93,28799.82,12797.13,9844.32,6180.121345705903,1057.42,11436.0,107.97,106782.73,0,638777.72
2022-07-18,28,51588.41,39481.71,15855.05,25277.56,13654.89,9274.66,5819.839784786423,877.51,11560.0,101.76,101792.43,0,648359.66
2022-07-25,29,0.0,40563.89,16994.91,23422.36,14560.92,8948.95,5009.58495659844,1072.3,11601.0,103.26,99872.57,0,651473.69
2022-08-01,30,48017.53,0.0,16693.9,22786.49,11338.75,9824.9,5337.141873124536,771.25,11738.0,104.65,101123.57,0,639169.91
2022-08-08,31,46826.51,38372.84,0.0,23263.44,11932.77,9995.59,5039.837450073386,1021.71,11692.0,101.49,111101.91,0,629618.89
2022-08-15,32,57863.96,38735.29,16752.48,24433.45,12482.45,0.0,4525.02641139414,993.35,11670.0,104.32,126651.5,0,651127.45
2022-08-22,33,56564.48,35789.09,16129.06,28739.75,11578.86,11687.23,5073.6688926897,958.38,11864.0,107.88,129685.12,0,655805.37
2022-08-29,34,50603.46,35772.8,14549.59,26111.3,13104.86,10138.45,4267.4962385264425,974.29,11695.0,104.47,128769.14,0,605182.48
2022-09-05,35,51652.54,31903.49,13307.71,21086.79,11353.33,9836.84,5408.383668577572,623.63,11574.0,104.74,131441.66,0,655992.43
2022-09-12,36,0.0,31623.43,14381.35,17450.39,11098.03,9337.1,4552.6751086653885,890.26,11767.0,101.59,135879.94,0,646529.18
2022-09-19,37,47903.97,32921.87,15702.43,16461.04,10560.93,9177.7,4869.638010510368,1018.57,11701.0,102.7,134276.6,0,609869.02
2022-09-26,38,39714.27,29590.65,14108.45,17443.22,10411.35,10200.01,4908.935061675017,1031.97,11765.0,102.99,143252.66,0,629953.02
2022-10-03,39,34061.41,33291.32,14504.3,20828.41,8299.48,9247.28,4650.547513147962,794.46,11921.0,102.9,144403.01,0,643379.53
2022-10-10,40,38537.42,28837.23,16196.46,18980.79,6986.18,0.0,5100.638026639583,1253.14,11842.0,105.88,146891.73,0,628143.66
2022-10-17,41,43925.06,25141.68,16073.66,19333.36,9435.23,9511.72,4611.606354262686,826.77,11988.0,104.2,150221.35,0,651307.63
2022-10-24,42,45335.87,29137.94,18018.12,19046.89,8439.53,8574.38,5340.632406043207,1193.89,11721.0,100.62,152329.28,0,690101.05
2022-10-31,43,45128.72,30918.42,15701.55,21521.06,7582.23,7523.43,4301.5541342234155,1085.44,12193.0,103.08,156523.99,0,608324.77
2022-11-07,44,41587.55,29818.27,12629.68,24667.96,5354.43,6223.86,5120.205923879549,870.75,12200.0,103.32,153437.72,1,625083.69
2022-11-14,45,36373.67,30343.82,10434.72,21379.57,5691.24,4905.11,6120.953751358042,1355.06,12087.0,104.33,150646.21,1,675835.8
2022-11-21,46,35694.51,29039.57,13172.29,19164.22,5212.7,7131.99,4756.711679456417,761.27,12432.0,104.93,145145.44,1,670790.83
2022-11-28,47,36234.0,25816.47,13990.08,20815.98,7973.63,6216.72,5033.062768006419,1183.83,12538.0,99.46,147342.95,1,648661.42
2022-12-05,48,41571.48,0.0,0.0,20725.7,9032.64,6121.94,5752.230752785689,1200.12,12078.0,99.57,151237.63,1,681010.21
2022-12-12,49,43164.37,23771.45,13506.66,23375.27,8170.93,6113.59,5715.186003927263,865.88,12297.0,98.39,153526.49,1,616848.6
2022-12-19,50,36221.43,26776.57,11844.66,22653.9,10567.14,6554.68,5935.999385349222,1278.49,12346.0,100.13,161898.96,1,678748.58
2022-12-26,51,39344.62,26018.6,15234.6,20224.78,10948.4,7252.32,6144.0568848185085,949.99,12362.0,101.23,161870.98,1,645620.43
2023-01-02,52,39736.06,24319.7,15000.43,20946.06,10116.2,7958.7,6357.3607342808855,1057.74,12766.0,101.97,165214.68,1,707569.41
2023-01-09,53,38216.24,24015.75,14558.51,0.0,7081.96,7202.72,6735.386601233435,1052.06,12611.0,99.55,159756.18,0,668382.92
2023-01-16,54,42197.79,25719.76,15053.62,22472.57,9959.67,6999.27,6524.224992751813,973.14,12647.0,98.76,157820.68,0,610804.93
2023-01-23,55,46626.71,24363.21,15080.75,22010.68,8131.18,7209.0,6333.976059733264,1162.16,12349.0,99.4,161298.37,0,619858.14
2023-01-30,56,49336.5,22738.88,14764.16,22855.52,6584.13,6939.78,6921.010022645133,1158.7,12927.0,97.13,165543.88,0,655904.35
2023-02-06,57,47096.53,25922.84,14052.77,25154.24,8809.77,8722.5,7658.005714178764,650.29,12602.0,102.69,164074.05,0,630545.49
2023-02-13,58,45555.48,27150.77,14653.6,26226.36,11649.96,8734.49,6756.805785049509,1260.87,12912.0,95.01,163716.05,0,636556.14
2023-02-20,59,47142.72,25923.77,17031.33,25348.59,12466.52,8945.93,6441.246095835781,667.5,13005.0,98.32,156126.68,0,633859.65
2023-02-27,60,50935.61,0.0,17951.2,22923.01,12127.5,9034.0,7576.524200537142,1206.51,13272.0,101.72,154341.53,0,592453.76
2023-03-06,61,51389.58,28739.56,20474.47,23699.26,12891.27,10292.66,7045.2654436764105,1225.34,12788.0,97.43,158793.45,0,642507.23
2023-03-13,62,50137.24,24773.44,18065.31,25485.1,13047.99,9767.78,6088.681469678397,781.81,12496.0,96.78,161669.48,0,615979.08
2023-03-20,63,45117.56,22119.02,15661.31,0.0,13044.31,8070.3,7654.652656001263,917.84,13187.0,96.2,164172.8,0,612222.56
2023-03-27,64,41199.36,22327.98,15274.24,22200.06,12468.44,8408.93,7005.044781121093,778.86,13560.0,96.32,164421.67,0,666614.44
2023-04-03,65,51058.11,25788.44,16421.22,22140.73,12741.92,8277.53,7254.73335884792,957.02,13498.0,99.21,164456.99,0,608559.67
2023-04-10,66,58426.49,28729.58,18096.74,22022.67,12063.6,7862.84,7478.699039382562,938.39,13342.0,91.83,161155.38,0,656001.96
2023-04-17,67,56675.2,34543.73,14776.12,25164.28,10696.91,8651.29,7406.191657315585,1155.93,13252.0,99.13,164649.52,0,640862.46
2023-04-24,68,60652.23,36621.56,17647.18,24558.03,10350.76,9833.94,7649.7421512549345,1262.06,13561.0,93.04,166754.39,0,639356.69
2023-05-01,69,63412.28,36571.35,17800.7,24973.95,8709.85,9968.74,7047.712840368289,1279.14,13255.0,95.19,169214.48,0,666137.64
2023-05-08,70,58057.0,35704.62,16821.56,20573.57,0.0,10003.94,7479.536764981698,887.57,13595.0,94.71,166584.31,0,647230.34
2023-05-15,71,59425.99,31764.08,15144.29,23204.59,8596.58,11445.53,7038.737409379142,958.16,13651.0,96.62,155817.59,0,654286.81
2023-05-22,72,66367.0,32341.24,12880.82,24773.04,7910.98,10968.47,7472.527898684547,663.31,13812.0,92.13,161303.36,0,659067.53
2023-05-29,73,63223.3,31829.53,15496.3,29986.8,9171.31,13035.38,7335.748488737683,838.83,14202.0,96.15,158909.17,0,636048.6
2023-06-05,74,70390.47,34140.33,16341.81,27414.63,11905.07,12632.36,6477.003821021471,1192.97,13778.0,99.19,154595.29,0,633534.32
2023-06-12,75,52966.15,31394.28,14389.09,26695.09,13050.82,9780.26,7397.595945130051,1323.12,13648.0,92.36,158062.69,0,619602.25
2023-06-19,76,58579.65,34117.74,13013.35,26274.86,10418.28,10385.89,6491.333941730534,753.13,13795.0,95.42,156102.62,0,616358.01
2023-06-26,77,0.0,39520.37,13705.12,29646.18,9377.11,10424.62,7064.565579395895,881.51,13496.0,93.69,161402.31,0,713040.83
2023-07-03,78,55804.47,36981.3,17339.25,26910.68,11114.56,11193.05,6743.64365670067,994.72,13761.0,95.85,164487.34,1,703354.77
2023-07-10,79,56478.25,37417.73,16782.07,26373.54,9837.77,11231.47,7378.555158142238,1056.03,13868.0,95.05,167905.18,0,612071.32
2023-07-17,80,46377.4,38700.93,14284.41,26889.38,9971.57,10433.0,6248.951344526516,838.08,13895.0,93.75,161075.4,0,602213.47
2023-07-24,81,48295.8,35899.77,14667.15,26108.03,11115.62,8769.87,6090.736714898366,1084.81,14080.0,96.06,167135.12,0,650537.8
2023-07-31,82,0.0,36058.58,14889.35,23844.42,9857.68,8638.12,6165.567025012366,905.23,13936.0,98.75,168441.38,0,648658.31
2023-08-07,83,0.0,33730.12,10404.87,22830.8,9926.01,7509.99,5940.345361851706,997.11,14374.0,94.84,166594.99,0,639274.46
2023-08-14,84,54418.15,33601.09,12033.36,25201.53,8452.31,7275.33,6416.848292730229,1109.26,14200.0,96.76,167311.93,0,627038.52
2023-08-21,85,50306.61,30702.8,12888.47,21442.66,8365.86,8242.18,5143.333947610606,1001.28,14248.0,92.85,158430.76,0,617160.26
2023-08-28,86,48912.38,31246.01,14982.06,21802.92,9493.62,9965.16,5370.174924533167,912.72,14234.0,93.66,160474.02,0,631125.03
2023-09-04,87,50969.23,30840.23,0.0,18516.96,7270.3,9244.15,5320.6425135571935,978.08,14381.0,96.67,155327.16,0,621022.01
2023-09-11,88,52157.84,34941.59,18110.28,21829.99,8617.78,7794.61,6300.137553301374,982.33,14565.0,98.85,148563.81,0,578691.23
2023-09-18,89,49126.57,36336.93,16773.87,17625.34,9008.88,8256.37,6664.364868864911,926.0,14277.0,96.78,140952.02,0,627613.42
2023-09-25,90,51698.3,40895.4,14581.92,16996.33,9969.2,9256.43,5755.06651663321,948.24,14368.0,95.63,146515.46,0,607359.41
2023-10-02,91,47753.74,32675.38,17174.83,17392.53,9478.6,7705.89,5735.589138404995,1319.73,14489.0,96.46,143369.14,0,637494.28
2023-10-09,92,51334.6,33618.46,16267.05,21200.24,10924.22,7502.55,5882.317207458536,1112.18,14331.0,94.18,151037.78,0,705760.74
2023-10-16,93,46886.92,32366.69,0.0,20244.2,10560.95,7484.02,6469.997333878043,940.9,14486.0,98.13,148358.77,0,638381.11
2023-10-23,94,45331.95,37058.39,15027.16,18488.4,9691.03,6805.38,5481.307190219298,1139.39,14605.0,98.92,139821.98,0,622352.2
2023-10-30,95,43975.22,32022.84,14956.35,22668.05,9694.47,7523.46,6133.728465714182,933.24,14925.0,96.51,134239.36,0,653876.73
2023-11-06,96,36276.68,26724.43,13575.05,17122.59,9560.89,6947.35,6584.614948997559,1234.62,14853.0,96.74,140418.42,1,674369.36
2023-11-13,97,39604.56,24973.38,12669.26,12614.78,9353.93,7279.91,6442.036336798821,1073.93,14889.0,98.48,139638.93,1,667024.19
2023-11-20,98,41796.78,19768.25,12070.18,14969.77,9200.42,6489.18,6391.6681500585755,978.54,15070.0,97.35,136897.49,1,667537.11
2023-11-27,99,42329.21,20296.27,12321.81,14651.01,8317.62,6288.09,6912.458299552415,1089.54,14923.0,98.38,137697.58,1,708066.07
2023-12-04,100,40798.79,19593.46,11558.19,13035.52,7561.7,6892.62,5183.660681456613,685.82,15078.0,103.0,140206.5,1,616877.06
2023-12-11,101,35895.36,21748.92,11006.85,15669.91,6412.53,6579.62,7004.332772722917,774.65,15029.0,98.6,145793.49,1,664249.18
2023-12-18,102,36267.78,23745.73,11665.5,16566.29,8823.34,0.0,6473.646494148729,761.21,15153.0,98.68,153035.99,1,626186.53
2023-12-25,103,36826.57,29056.24,11665.75,15545.68,7457.6,7311.08,6024.146871316447,1028.59,15033.0,98.4,151237.14,1,665827.24
2024-01-01,104,0.0,31131.99,0.0,13686.26,7230.56,7502.93,7335.601299762491,1346.5,14712.0,101.49,144606.9,1,635597.25
2024-01-08,105,37828.71,28117.37,10421.75,16622.85,6921.58,8070.58,7907.3659528368025,1446.26,15223.0,99.94,142539.58,0,626004.03
2024-01-15,106,41113.58,25167.91,12635.23,18214.34,8389.8,6626.94,7290.591406973713,1127.61,15585.0,99.3,143840.98,0,624272.47
2024-01-22,107,49216.18,26732.45,14386.42,17763.52,8175.19,5348.22,7971.042160644005,1100.17,15535.0,103.54,139022.19,0,665560.38
2024-01-29,108,48186.32,23097.39,11279.85,21511.24,9635.7,4637.26,8430.86230103809,639.79,15593.0,104.04,134236.43,0,662417.73
2024-02-05,109,50805.89,30595.7,12081.15,19182.45,9198.03,6722.02,8405.521973523179,891.47,15697.0,100.29,135955.37,0,609320.81
2024-02-12,110,49129.24,33014.93,12103.93,15591.05,9523.31,6465.99,8683.104922926492,842.44,15518.0,98.04,135712.11,0,639868.45
2024-02-19,111,40278.59,30133.49,10682.33,14927.7,8514.08,8875.89,8339.574493707047,875.83,15589.0,104.07,135876.09,0,623887.28
2024-02-26,112,41959.65,24664.5,10560.91,15898.19,11115.97,7963.39,8100.700685344452,966.37,15476.0,100.95,132083.62,0,606234.23
2024-03-04,113,47024.28,31726.64,10826.18,18615.07,9986.97,8592.44,7344.473119704625,905.58,15587.0,104.17,130931.61,0,634097.24
2024-03-11,114,59001.59,30865.03,14706.73,18451.59,10362.66,9802.61,8091.984998620441,604.14,15823.0,98.9,126310.45,0,629851.97
